tau1,tau2,rmse,ratio_small,ratio_lm,ratio_fusion,est_cost,rmse_norm,cost_norm,score
0.65,-0.06,14.311444282531738,0.41767323585505406,0.582326764144946,0.011760966306420852,9.467031150667514,0.6448829556905243,0.742903487429035,0.6938932215597797
0.65,-0.04,14.311444282531738,0.41767323585505406,0.582326764144946,0.011760966306420852,9.467031150667514,0.6448829556905243,0.742903487429035,0.6938932215597797
0.65,-0.02,14.320587158203125,0.41767323585505406,0.582326764144946,0.01112523839796567,9.467031150667514,0.6588229991086632,0.742903487429035,0.7008632432688491
0.65,0.0,14.33664608001709,0.41767323585505406,0.582326764144946,0.01080737444373808,9.467031150667514,0.6833078631034518,0.742903487429035,0.7131056752662435
0.65,0.02,14.338458061218262,0.41767323585505406,0.582326764144946,0.010171646535282899,9.467031150667514,0.6860705711971686,0.742903487429035,0.7144870293131018
0.65,0.04,14.344249725341797,0.41767323585505406,0.582326764144946,0.009853782581055308,9.467031150667514,0.6949010586988227,0.742903487429035,0.7189022730639288
0.65,0.06,14.344656944274902,0.41767323585505406,0.582326764144946,0.009535918626827717,9.467031150667514,0.6955219409914633,0.742903487429035,0.7192127142102491
0.65,0.08,14.345009803771973,0.41767323585505406,0.582326764144946,0.009218054672600126,9.467031150667514,0.6960599420412923,0.742903487429035,0.7194817147351636
0.65,0.1,14.34997272491455,0.41767323585505406,0.582326764144946,0.008264462809917356,9.467031150667514,0.7036268541042937,0.742903487429035,0.7232651707666644
0.65,0.12,14.360641479492188,0.41767323585505406,0.582326764144946,0.007628734901462174,9.467031150667514,0.7198933885487203,0.742903487429035,0.7313984379888776
0.65,0.14,14.362998008728027,0.41767323585505406,0.582326764144946,0.007310870947234584,9.467031150667514,0.7234863631274437,0.742903487429035,0.7331949252782394
0.65,0.16,14.362998008728027,0.41767323585505406,0.582326764144946,0.007310870947234584,9.467031150667514,0.7234863631274437,0.742903487429035,0.7331949252782394
0.65,0.18,14.361653327941895,0.41767323585505406,0.582326764144946,0.006993006993006993,9.467031150667514,0.7214361429105275,0.742903487429035,0.7321698151697813
0.65,0.2,14.361653327941895,0.41767323585505406,0.582326764144946,0.006993006993006993,9.467031150667514,0.7214361429105275,0.742903487429035,0.7321698151697813
0.7,-0.2,14.38076400756836,0.3897012078830261,0.6102987921169739,0.024793388429752067,9.8737444373808,0.750573988957892,0.7785888077858881,0.7645813983718901
0.7,-0.18,14.375115394592285,0.3897012078830261,0.6102987921169739,0.023839796567069294,9.8737444373808,0.7419616099899524,0.7785888077858881,0.7602752088879203
0.7,-0.16,14.393293380737305,0.3897012078830261,0.6102987921169739,0.02129688493324857,9.8737444373808,0.7696773883974984,0.7785888077858881,0.7741330980916933
0.7,-0.14,14.40233039855957,0.3897012078830261,0.6102987921169739,0.019707565162110616,9.8737444373808,0.7834560315006885,0.7785888077858881,0.7810224196432883
0.7,-0.12,14.406896591186523,0.3897012078830261,0.6102987921169739,0.017800381436745075,9.8737444373808,0.790418055896855,0.7785888077858881,0.7845034318413715
0.7,-0.1,14.408902168273926,0.3897012078830261,0.6102987921169739,0.016846789574062302,9.8737444373808,0.7934759375395322,0.7785888077858881,0.7860323726627101
0.7,-0.08,14.421163558959961,0.3897012078830261,0.6102987921169739,0.01589319771137953,9.8737444373808,0.8121707469926468,0.7785888077858881,0.7953797773892675
0.7,-0.06,14.411821365356445,0.3897012078830261,0.6102987921169739,0.014621741894469168,9.8737444373808,0.7979268056841992,0.7785888077858881,0.7882578067350436
0.7,-0.04,14.411821365356445,0.3897012078830261,0.6102987921169739,0.014621741894469168,9.8737444373808,0.7979268056841992,0.7785888077858881,0.7882578067350436
0.7,-0.02,14.420902252197266,0.3897012078830261,0.6102987921169739,0.013986013986013986,9.8737444373808,0.8117723354043951,0.7785888077858881,0.7951805715951417
0.7,0.0,14.439166069030762,0.3897012078830261,0.6102987921169739,0.013350286077558804,9.8737444373808,0.8396189789321697,0.7785888077858881,0.8091038933590289
0.7,0.02,14.440964698791504,0.3897012078830261,0.6102987921169739,0.012714558169103624,9.8737444373808,0.8423613302294065,0.7785888077858881,0.8104750690076473
0.7,0.04,14.446714401245117,0.3897012078830261,0.6102987921169739,0.012396694214876033,9.8737444373808,0.8511278392278376,0.7785888077858881,0.8148583235068629
0.7,0.06,14.447118759155273,0.3897012078830261,0.6102987921169739,0.012078830260648443,9.8737444373808,0.851744359349804,0.7785888077858881,0.8151665835678461
0.7,0.08,14.447469711303711,0.3897012078830261,0.6102987921169739,0.011760966306420852,9.8737444373808,0.8522794522858501,0.7785888077858881,0.8154341300358692
0.7,0.1,14.452397346496582,0.3897012078830261,0.6102987921169739,0.01080737444373808,9.8737444373808,0.8597925642438686,0.7785888077858881,0.8191906860148783
0.7,0.12,14.462990760803223,0.3897012078830261,0.6102987921169739,0.010171646535282899,9.8737444373808,0.8759442281938723,0.7785888077858881,0.8272665179898802
0.7,0.14,14.46532917022705,0.3897012078830261,0.6102987921169739,0.009853782581055308,9.8737444373808,0.8795095756916586,0.7785888077858881,0.8290491917387733
0.7,0.16,14.46532917022705,0.3897012078830261,0.6102987921169739,0.009853782581055308,9.8737444373808,0.8795095756916586,0.7785888077858881,0.8290491917387733
0.7,0.18,14.466094970703125,0.3897012078830261,0.6102987921169739,0.009218054672600126,9.8737444373808,0.8806771833754767,0.7785888077858881,0.8296329955806825
0.7,0.2,14.466094970703125,0.3897012078830261,0.6102987921169739,0.009218054672600126,9.8737444373808,0.8806771833754767,0.7785888077858881,0.8296329955806825
0.75,-0.2,14.443509101867676,0.35727908455181184,0.6427209154481882,0.03273998728544183,10.345162110616656,0.8462407540157416,0.8199513381995134,0.8330960461076276
0.75,-0.18,14.437891960144043,0.35727908455181184,0.6427209154481882,0.03146853146853147,10.345162110616656,0.8376763589252193,0.8199513381995134,0.8288138485623664
0.75,-0.16,14.45539379119873,0.35727908455181184,0.6427209154481882,0.027972027972027972,10.345162110616656,0.8643612109967415,0.8199513381995134,0.8421562745981275
0.75,-0.14,14.46439266204834,0.35727908455181184,0.6427209154481882,0.026382708200890018,10.345162110616656,0.8780816918242743,0.8199513381995134,0.8490165150118938
0.75,-0.12,14.471673011779785,0.35727908455181184,0.6427209154481882,0.024157660521296885,10.345162110616656,0.8891819621334505,0.8199513381995134,0.8545666501664819
0.75,-0.1,14.475767135620117,0.35727908455181184,0.6427209154481882,0.02256834075015893,10.345162110616656,0.8954242283683591,0.8199513381995134,0.8576877832839362
0.75,-0.08,14.487972259521484,0.35727908455181184,0.6427209154481882,0.02161474888747616,10.345162110616656,0.9140332484648794,0.8199513381995134,0.8669922933321964
0.75,-0.06,14.480592727661133,0.35727908455181184,0.6427209154481882,0.020025429116338207,10.345162110616656,0.9027817562389946,0.8199513381995134,0.861366547219254
0.75,-0.04,14.480592727661133,0.35727908455181184,0.6427209154481882,0.020025429116338207,10.345162110616656,0.9027817562389946,0.8199513381995134,0.861366547219254
0.75,-0.02,14.489630699157715,0.35727908455181184,0.6427209154481882,0.019389701207883026,10.345162110616656,0.9165618533990761,0.8199513381995134,0.8682565957992947
0.75,0.0,14.507806777954102,0.35727908455181184,0.6427209154481882,0.018753973299427844,10.345162110616656,0.9442747236928392,0.8199513381995134,0.8821130309461762
0.75,0.02,14.509598731994629,0.35727908455181184,0.6427209154481882,0.018118245390972662,10.345162110616656,0.947006896591836,0.8199513381995134,0.8834791173956746
0.75,0.04,14.5153226852417,0.35727908455181184,0.6427209154481882,0.017800381436745075,10.345162110616656,0.9557341460541985,0.8199513381995134,0.887842742126856
0.75,0.06,14.52056884765625,0.35727908455181184,0.6427209154481882,0.016846789574062302,10.345162110616656,0.9637329130139546,0.8199513381995134,0.8918421256067339
0.75,0.08,14.520916938781738,0.35727908455181184,0.6427209154481882,0.01652892561983471,10.345162110616656,0.9642636437793265,0.8199513381995134,0.89210749098942
0.75,0.1,14.531493186950684,0.35727908455181184,0.6427209154481882,0.015257469802924348,10.345162110616656,0.9803891347052844,0.8199513381995134,0.9001702364523989
0.75,0.12,14.542030334472656,0.35727908455181184,0.6427209154481882,0.014621741894469168,10.345162110616656,0.9964550092986938,0.8199513381995134,0.9082031737491036
0.75,0.14,14.544355392456055,0.35727908455181184,0.6427209154481882,0.014303877940241577,10.345162110616656,1.0,0.8199513381995134,0.9099756690997567
0.75,0.16,14.539402961730957,0.35727908455181184,0.6427209154481882,0.013668150031786395,10.345162110616656,0.9924490825628044,0.8199513381995134,0.9062002103811588
0.75,0.18,14.54016399383545,0.35727908455181184,0.6427209154481882,0.013032422123331213,10.345162110616656,0.9936094199621655,0.8199513381995134,0.9067803790808394
0.75,0.2,14.54016399383545,0.35727908455181184,0.6427209154481882,0.013032422123331213,10.345162110616656,0.9936094199621655,0.8199513381995134,0.9067803790808394
0.8,-0.2,14.424629211425781,0.3130959949141767,0.6869040050858233,0.04227590591226955,10.987584233947869,0.8174547897361032,0.8763179237631792,0.8468863567496412
0.8,-0.18,14.422540664672852,0.3130959949141767,0.6869040050858233,0.03973299427844883,10.987584233947869,0.8142704051438716,0.8763179237631792,0.8452941644535255
